DAY,JN,CW,PS,HZ,JN,,EK,DATE,EVENT 1,CLASSROOM,"Shift 1
8am - 9.30am","Shift 2
12.30pm - 2pm","Shift 3
4.30pm - 6pm",EVENT 2,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 3,CLASSROOM,Shift 1,Shift 2,Shift,EVENT 4,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 5,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 6,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 7,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 8,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 9,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 9,CLASSROOM,Shift 1,Shift 2,Shift 3
Monday,,,,,,,,12-Jun-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,13-Jun-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,14-Jun-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,15-Jun-23,Singhealth - FPB,CC12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,16-Jun-23,PUB-DWP,Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,17-Jun-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,18-Jun-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,19-Jun-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,20-Jun-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,21-Jun-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,22-Jun-23,Singhealth - FPB,CC12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,23-Jun-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,24-Jun-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,25-Jun-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,26-Jun-23,Singhealth -FBI,CC12,,,,DIB x 8pax,CC11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,27-Jun-23,OCBC-IDS,CC12,,,,DIB x 8pax,CC11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,28-Jun-23,Singhealth - FPB,Online,,,,DIB x 8pax,CC11,,,,,,,,,,,,,,,,,,,VIE Loan 5 Hubs,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,29-Jun-23,HARI RAYA HAJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,30-Jun-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,1-Jul-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,2-Jul-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,3-Jul-23,Singhealth -FBI,CC12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,4-Jul-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,5-Jul-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,6-Jul-23,Singhealth - FPB,Online,,,,ST - IESD,CC12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,7-Jul-23,PUB-DVSAP,LT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,8-Jul-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,9-Jul-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,10-Jul-23,Singhealth -FBI,CC12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,11-Jul-23,ST - Bootcamp,CC11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,12-Jul-23,ST - Bootcamp,CC11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,13-Jul-23,ST - Bootcamp,CC11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,14-Jul-23,PUB-DVSAP,LT3,,,,,,,,,M4 - Resilience,Chui Huay Lim Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,15-Jul-23,,,,,,,,,,,M4 - Resilience,Chui Huay Lim Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,16-Jul-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,17-Jul-23,Singhealth -FBI,CC12,,,,,,,,,DSTA - IbD 1/8,CC11,,,,IMDA Quantum 1/2,LT 3,,,,,,,,,VIE Loan hubs,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,18-Jul-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,19-Jul-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,20-Jul-23,,,,,,,,,,,,,,,,IMDA Quantum 2/2,LT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,21-Jul-23,PUB-DVSAP,LT3,,,,,,,,,M4 - Resilience,Chui Huay Lim Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,22-Jul-23,,,,,,,,,,,M4 - Resilience,Chui Huay Lim Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,23-Jul-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,24-Jul-23,Singhealth -FBI,Online,,,,,,,,,DSTA - IbD 2/8,CC11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,25-Jul-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,26-Jul-23,Lead Horizon,CC11,,,,,,,,,M4 - Resilience,Online,,,,CSA - SS,2.612,,,,IMDA Quantum 1/2,CC12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,27-Jul-23,Lead Horizon,CC11,,,,,,,,,,,,,,CSA - STL1,2.612,,,,IMDA Quantum 2/2,CC12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,28-Jul-23,PUB-DVSAP,LT3,,,,,,,,,M5 - Transformation - Leadership,Chui Huay Lim Club,,,,CSA - DF,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,29-Jul-23,,,,,,,,,,,M5 - Transformation - Leadership,Chui Huay Lim Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,30-Jul-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,31-Jul-23,Singhealth -FBI,Online,,,,PUB-IntroToHR,CC12,,,,DSTA - IbD 3/8,CC11,,,,,,,,,CSA Batch 4 Grad Ceremony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,1-Aug-23,,,,,,Singhealth - DWPE,CC12,,,,,,,,,CSA - STL1,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,2-Aug-23,,,,,,Lead Horizon,CC11,,,,M4 - Resilience,Chui Huay Lim Club,,,,CSA - SS,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
